Disease name,"""Target"" gene ID",“Target” gene symbol,"""Target"" gene name","""Target"" gene in PPIN?"
Ischaemic stroke,1636,ACE,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,Yes
,241,ALOX5AP,arachidonate 5-lipoxygenase-activating protein,Yes
,335,APOA1,apolipoprotein A-I,Yes
,348,APOE,apolipoprotein E,Yes
,11132,CAPN10,calpain 10,No
,6347,CCL2,chemokine (C-C motif) ligand 2,Yes
,929,CD14,CD14 molecule,Yes
,1401,CRP,"C-reactive protein, pentraxin-related",Yes
,2053,EPHX2,"epoxide hydrolase 2, cytoplasmic",No
,2161,F12,coagulation factor XII (Hageman factor),Yes
,2162,F13A1,"coagulation factor XIII, A1 polypeptide",Yes
,2147,F2,coagulation factor II (thrombin),Yes
,2153,F5,"coagulation factor V (proaccelerin, labile factor)",Yes
,2155,F7,coagulation factor VII (serum prothrombin conversion accelerator),Yes
,2243,FGA,fibrinogen alpha chain,Yes
,2244,FGB,fibrinogen beta chain,Yes
,2811,GP1BA,"glycoprotein Ib (platelet), alpha polypeptide",Yes
,3106,HLA-B,"major histocompatibility complex, class I, B",Yes
,3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",Yes
,3122,HLA-DRA,"major histocompatibility complex, class II, DR alpha",Yes
,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",Yes
,3383,ICAM1,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor",Yes
,3553,IL1B,"interleukin 1, beta",Yes
,3569,IL6,"interleukin 6 (interferon, beta 2)",Yes
,3673,ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",Yes
,3674,ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",Yes
,3675,ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",Yes
,3676,ITGA4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",Yes
,3690,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",Yes
,4282,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor),Yes
,4314,MMP3,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",Yes
,4524,MTHFR,"5,10-methylenetetrahydrofolate reductase (NADPH)",Yes
,4846,NOS3,nitric oxide synthase 3 (endothelial cell),Yes
,4883,NPR3,natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C),Yes
,5144,PDE4D,"phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)",Yes
,5327,PLAT,"plasminogen activator, tissue",Yes
,5444,PON1,paraoxonase 1,Yes
,8858,PROZ,"protein Z, vitamin K-dependent plasma glycoprotein",No
,6401,SELE,selectin E (endothelial adhesion molecule 1),Yes
,5265,SERPINA1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1",Yes
,5054,SERPINE1,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",Yes
,6548,SLC9A1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)",Yes
,7099,TLR4,toll-like receptor 4,Yes
,7124,TNF,"tumor necrosis factor (TNF superfamily, member 2)",Yes
Endometriosis,196,AHR,aryl hydrocarbon receptor,Yes
,197,AHSG,alpha-2-HS-glycoprotein,Yes
,367,AR,androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease),Yes
,405,ARNT,aryl hydrocarbon receptor nuclear translocator,Yes
,6352,CCL5,chemokine (C-C motif) ligand 5,Yes
,1231,CCR2,chemokine (C-C motif) receptor 2,Yes
,1234,CCR5,chemokine (C-C motif) receptor 5,Yes
,1312,COMT,catechol-O-methyltransferase,Yes
,1493,CTLA4,cytotoxic T-lymphocyte-associated protein 4,Yes
,1586,CYP17A1,"cytochrome P450, family 17, subfamily A, polypeptide 1",Yes
,1588,CYP19A1,"cytochrome P450, family 19, subfamily A, polypeptide 1",Yes
,1543,CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",Yes
,1545,CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",Yes
,1571,CYP2E1,"cytochrome P450, family 2, subfamily E, polypeptide 1",Yes
,2052,EPHX1,"epoxide hydrolase 1, microsomal (xenobiotic)",No
,2099,ESR1,estrogen receptor 1,Yes
,2100,ESR2,estrogen receptor 2 (ER beta),Yes
,,,,
,355,FAS,"Fas (TNF receptor superfamily, member 6)",Yes
,356,FASLG,"Fas ligand (TNF superfamily, member 6)",Yes
,2592,GALT,galactose-1-phosphate uridylyltransferase,Yes
,2944,GSTM1,glutathione S-transferase M1,Yes
,2952,GSTT1,glutathione S-transferase theta 1,No
,3105,HLA-A,"major histocompatibility complex, class I, A",Yes
,3106,HLA-B,"major histocompatibility complex, class I, B",Yes
,3107,HLA-C,"major histocompatibility complex, class I, C",Yes
,3115,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",Yes
,3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",No
,3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",Yes
,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",Yes
,3292,HSD17B1,hydroxysteroid (17-beta) dehydrogenase 1,No
,3383,ICAM1,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor",Yes
,3458,IFNG,"interferon, gamma",Yes
,3565,IL4,interleukin 4,Yes
,3569,IL6,"interleukin 6 (interferon, beta 2)",Yes
,4312,MMP1,matrix metallopeptidase 1 (interstitial collagenase),Yes
,4314,MMP3,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",Yes
,4353,MPO,myeloperoxidase,No
,10,NAT2,N-acetyltransferase 2 (arylamine N-acetyltransferase),No
,8204,NRIP1,nuclear receptor interacting protein 1,Yes
,5241,PGR,progesterone receptor,Yes
,7124,TNF,"tumor necrosis factor (TNF superfamily, member 2)",Yes
,7133,TNFRSF1B,"tumor necrosis factor receptor superfamily, member 1B",Yes
,7422,VEGFA,vascular endothelial growth factor A,Yes
Autism,100,ADA,adenosine deaminase,Yes
,116987,CENTG2,"centaurin, gamma 2",Yes
,129446,XIRP2(CMYA3),xin actin-binding repeat containing 2,No
,1641,DCX,"doublecortex; lissencephaly, X-linked (doublecortin)",Yes
,2020,EN2,engrailed homeobox 2,Yes
,2332,FMR1,fragile X mental retardation 1,Yes
,93986,FOXP2,forkhead box P2,Yes
,2477,FRAXA,"fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)",No
,2481,FRAXE,"fragile site, folic acid type, rare, fra(X)(q28) E",No
,2482,FRAXF,"fragile site, folic acid type, rare, fra(X)(q28) F",No
,2555,GABRA2,"gamma-aminobutyric acid (GABA) A receptor, alpha 2",No
,2557,GABRA4,"gamma-aminobutyric acid (GABA) A receptor, alpha 4",Yes
,2558,GABRA5,"gamma-aminobutyric acid (GABA) A receptor, alpha 5",No
,2562,GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3",Yes
,2565,GABRG1,"gamma-aminobutyric acid (GABA) A receptor, gamma 1",No
,2567,GABRG3,"gamma-aminobutyric acid (GABA) A receptor, gamma 3",Yes
,2739,GLO1,glyoxalase I,No
,2898,GRIK2,"glutamate receptor, ionotropic, kainate 2",Yes
,2918,GRM8,"glutamate receptor, metabotropic 8",Yes
,2925,GRPR,gastrin-releasing peptide receptor,Yes
,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",Yes
,3198,HOXA1,homeobox A1,Yes
,3265,HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,Yes
,3356,HTR2A,5-hydroxytryptamine (serotonin) receptor 2A,Yes
,4128,MAOA,monoamine oxidase A,No
,4204,MECP2,methyl CpG binding protein 2 (Rett syndrome),Yes
